                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0916,                 1.1262,                 1.4123,                0.84325,                0.83804,                0.90335,                 0.6657,                0.95599,                 0.8392,                 1.2422,               0.006733,               0.006733,               0.006733
                     35,                 1.0736,                 1.0967,                 1.4069,                 0.6131,                0.56933,                0.55347,                0.34464,                 1.4421,                 1.6531,                 1.6455,               0.006634,               0.006634,               0.006634
                     36,                 1.0407,                 1.0688,                  1.374,                0.86764,                0.80736,                0.89379,                0.65303,                0.97603,                0.82395,                 1.2974,               0.006535,               0.006535,               0.006535
                     37,                 1.0335,                 1.0803,                 1.3779,                0.89204,                0.84785,                0.92812,                0.70458,                 0.8994,                0.81355,                 1.2017,               0.006436,               0.006436,               0.006436
                     38,                 1.0171,                 1.0242,                 1.3499,                 0.8902,                0.84553,                0.92623,                 0.7017,                0.88416,                0.74261,                 1.1848,               0.006337,               0.006337,               0.006337
                     39,                 1.0168,                0.99814,                  1.359,                0.91492,                0.85521,                0.93383,                0.70181,                0.92408,                0.72355,                 1.2094,               0.006238,               0.006238,               0.006238
                     40,                0.98065,                0.98995,                 1.3602,                0.80516,                 0.6908,                0.78708,                0.51635,                 1.2346,                 1.1457,                 1.4642,               0.006139,               0.006139,               0.006139
                     41,                0.99403,                  1.001,                 1.3527,                0.89879,                0.85767,                0.92658,                0.71705,                0.86188,                0.71418,                 1.1811,                0.00604,                0.00604,                0.00604
                     42,                0.98568,                0.98446,                 1.3444,                0.89372,                0.89448,                0.94096,                0.73172,                0.81837,                0.69536,                 1.1449,               0.005941,               0.005941,               0.005941
                     43,                0.97867,                 0.9902,                 1.3373,                 0.8951,                0.89325,                0.94147,                0.73548,                0.81392,                0.71002,                 1.1399,               0.005842,               0.005842,               0.005842
                     44,                0.92185,                0.93949,                 1.3222,                0.88115,                0.84605,                0.92019,                0.69403,                0.87831,                0.82411,                 1.1883,               0.005743,               0.005743,               0.005743
                     45,                0.91254,                0.89873,                 1.3062,                0.80471,                0.74847,                0.85321,                0.60931,                  1.026,                0.96378,                 1.3333,               0.005644,               0.005644,               0.005644
                     46,                0.94038,                0.93311,                 1.3195,                0.90682,                0.80368,                0.91659,                0.70914,                0.84278,                0.76785,                 1.1628,               0.005545,               0.005545,               0.005545
                     47,                0.91724,                0.89249,                 1.3033,                0.91079,                0.90192,                 0.9431,                0.73657,                0.80592,                0.65974,                 1.1576,               0.005446,               0.005446,               0.005446
                     48,                0.91401,                0.88853,                 1.2939,                0.91091,                0.91166,                0.94758,                0.76071,                0.77653,                0.64021,                  1.134,               0.005347,               0.005347,               0.005347
                     49,                0.88529,                0.87431,                 1.2871,                0.91377,                0.92393,                0.95298,                0.78098,                0.75275,                0.60105,                 1.1174,               0.005248,               0.005248,               0.005248
                     50,                0.92869,                0.89367,                 1.3087,                0.91575,                0.89816,                0.94616,                0.75205,                0.79192,                0.69937,                 1.1186,               0.005149,               0.005149,               0.005149
                     51,                0.92626,                0.88818,                 1.2995,                0.72731,                0.66135,                0.73601,                0.47034,                 1.1521,                 1.2402,                  1.425,                0.00505,                0.00505,                0.00505
                     52,                0.87463,                0.86551,                 1.2784,                0.91716,                0.91017,                0.95557,                0.78345,                0.72748,                0.60154,                 1.1011,               0.004951,               0.004951,               0.004951
                     53,                0.83829,                0.82758,                 1.2551,                0.92303,                0.92704,                 0.9641,                0.78829,                0.74976,                0.58805,                 1.1079,               0.004852,               0.004852,               0.004852
                     54,                0.84728,                0.83052,                 1.2501,                0.92642,                0.89598,                0.95784,                0.78647,                0.74976,                0.59593,                 1.1042,               0.004753,               0.004753,               0.004753
                     55,                0.87152,                0.85621,                 1.2725,                0.87375,                0.87853,                0.92759,                0.74353,                0.78437,                0.75524,                 1.1274,               0.004654,               0.004654,               0.004654
                     56,                0.87222,                0.84947,                 1.2537,                0.94744,                0.91411,                0.96491,                0.78186,                 0.7183,                0.56857,                 1.1032,               0.004555,               0.004555,               0.004555
                     57,                0.84718,                0.79975,                 1.2465,                0.92136,                0.88221,                0.95405,                0.77169,                0.74291,                 0.6313,                  1.107,               0.004456,               0.004456,               0.004456
                     58,                0.84145,                0.81495,                 1.2442,                0.92403,                0.92525,                0.96784,                0.79089,                0.70954,                 0.5865,                 1.0647,               0.004357,               0.004357,               0.004357
                     59,                0.83249,                 0.7964,                 1.2498,                0.91305,                0.91475,                0.95641,                 0.7927,                0.68454,                0.57743,                 1.0742,               0.004258,               0.004258,               0.004258
                     60,                0.83001,                0.79235,                 1.2445,                 0.7409,                0.79645,                0.84719,                0.59806,                 1.0192,                0.96362,                 1.3135,               0.004159,               0.004159,               0.004159
                     61,                0.81487,                 0.7934,                 1.2183,                 0.8934,                0.89448,                0.94906,                0.77923,                0.72605,                0.61301,                 1.0919,                0.00406,                0.00406,                0.00406
