                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     20,                 1.5154,                 1.8163,                 1.7741,                0.57148,                0.51166,                 0.5152,                0.22831,                 1.7517,                 2.0647,                 2.0077,               0.006238,               0.006238,               0.006238
                     21,                 1.5019,                 1.7662,                 1.7844,                0.72118,                0.62699,                0.71535,                0.41222,                 1.3916,                 1.4884,                 1.5055,                0.00604,                0.00604,                0.00604
                     22,                 1.4571,                 1.7355,                 1.7343,                0.74472,                0.60491,                0.70666,                0.40071,                 1.4007,                 1.5333,                  1.541,               0.005842,               0.005842,               0.005842
                     23,                 1.4042,                 1.6299,                 1.7116,                0.62598,                0.64686,                0.68107,                0.37321,                 1.4238,                 1.5289,                  1.556,               0.005644,               0.005644,               0.005644
                     24,                 1.4028,                  1.606,                 1.6803,                 0.7272,                0.59387,                0.69023,                0.39183,                 1.3326,                 1.5323,                 1.4724,               0.005446,               0.005446,               0.005446
                     25,                  1.402,                  1.591,                 1.6965,                0.81504,                0.66994,                0.76816,                0.45519,                 1.3221,                 1.4084,                 1.4778,               0.005248,               0.005248,               0.005248
                     26,                 1.3279,                 1.5393,                 1.6352,                0.78845,                0.63106,                0.74059,                0.42939,                 1.3082,                 1.5799,                 1.4881,                0.00505,                0.00505,                0.00505
                     27,                 1.3167,                 1.5241,                 1.5961,                0.43171,                0.42086,                0.31835,                0.13173,                 2.1056,                 2.5397,                 2.6214,               0.004852,               0.004852,               0.004852
                     28,                 1.3144,                 1.5102,                  1.593,                0.39079,                0.33006,                0.21259,                0.07657,                 2.4451,                 2.9748,                 3.0173,               0.004654,               0.004654,               0.004654
                     29,                 1.2888,                 1.4382,                 1.5833,                0.65879,                0.60859,                0.66673,                0.37698,                  1.355,                 1.6368,                 1.4767,               0.004456,               0.004456,               0.004456
                     30,                 1.2456,                 1.4072,                 1.5473,                 0.7388,                0.69571,                0.76258,                0.47299,                 1.2738,                 1.2712,                 1.4086,               0.004258,               0.004258,               0.004258
                     31,                  1.253,                 1.4107,                 1.5466,                0.81728,                0.68601,                0.81349,                0.50293,                 1.2236,                 1.1585,                   1.37,                0.00406,                0.00406,                0.00406
                     32,                 1.2061,                 1.3471,                 1.5146,                0.61248,                0.61104,                0.60576,                0.32094,                  1.467,                 1.7231,                  1.606,               0.003862,               0.003862,               0.003862
                     33,                 1.2236,                 1.3152,                 1.5024,                0.86103,                 0.7411,                0.85593,                0.59167,                 1.0871,                 1.0068,                  1.324,               0.003664,               0.003664,               0.003664
                     34,                  1.202,                 1.3227,                 1.5009,                 0.8041,                0.75215,                0.83925,                0.55661,                 1.0933,                 1.0752,                 1.3381,               0.003466,               0.003466,               0.003466
                     35,                  1.167,                 1.2987,                 1.4859,                0.81749,                0.78041,                0.85591,                0.60163,                 1.0354,                 1.0054,                 1.2961,               0.003268,               0.003268,               0.003268
                     36,                 1.1312,                 1.2313,                 1.4532,                0.80682,                0.70206,                0.78226,                0.45896,                 1.3793,                 1.2123,                 1.5192,                0.00307,                0.00307,                0.00307
                     37,                 1.1271,                 1.2533,                 1.4504,                0.54846,                0.42327,                0.45034,                0.24488,                 1.5433,                 2.3007,                  1.781,               0.002872,               0.002872,               0.002872
                     38,                  1.122,                 1.2155,                 1.4358,                0.86513,                0.76344,                0.87654,                0.63371,                0.99341,                0.92896,                 1.2659,               0.002674,               0.002674,               0.002674
                     39,                 1.1066,                 1.1802,                 1.4326,                 0.8611,                0.76074,                0.88132,                 0.6062,                 1.0769,                0.98916,                 1.2932,               0.002476,               0.002476,               0.002476
                     40,                 1.0675,                 1.1677,                 1.4253,                0.85846,                0.80373,                0.89992,                0.65284,                0.98254,                0.85431,                 1.2644,               0.002278,               0.002278,               0.002278
                     41,                 1.0769,                 1.1536,                 1.4276,                0.81107,                0.82086,                0.88659,                0.65729,                0.93964,                 0.9092,                 1.2298,                0.00208,                0.00208,                0.00208
                     42,                 1.0666,                 1.1147,                 1.4195,                0.85296,                0.82566,                0.90609,                0.68385,                0.92226,                0.81265,                  1.216,               0.001882,               0.001882,               0.001882
                     43,                  1.076,                 1.1293,                 1.4065,                0.86207,                0.83804,                0.90854,                 0.6607,                0.98701,                0.86071,                 1.2385,               0.001684,               0.001684,               0.001684
                     44,                 1.0369,                   1.09,                 1.4031,                0.89718,                0.83313,                0.91774,                0.68864,                0.93253,                 0.8189,                 1.2273,               0.001486,               0.001486,               0.001486
                     45,                 1.0015,                 1.0561,                 1.3672,                0.87434,                0.81102,                0.89675,                0.65017,                0.98289,                0.93404,                 1.2505,               0.001288,               0.001288,               0.001288
                     46,                 1.0249,                 1.0912,                 1.3976,                 0.8247,                0.76775,                0.84962,                0.60457,                 1.0419,                 1.0553,                 1.2867,                0.00109,                0.00109,                0.00109
                     47,                0.99697,                 1.0376,                  1.369,                0.86106,                0.84407,                0.91394,                0.69276,                0.90613,                 0.8118,                 1.2031,               0.000892,               0.000892,               0.000892
                     48,                0.99129,                 1.0316,                 1.3695,                0.89326,                0.86503,                0.92778,                 0.7162,                0.86352,                0.75455,                 1.1878,               0.000694,               0.000694,               0.000694
                     49,                 0.9686,                 1.0563,                 1.3499,                0.87852,                0.85186,                0.92668,                0.70757,                0.88291,                0.76046,                  1.201,               0.000496,               0.000496,               0.000496
