                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6553,                 3.7416,                  4.117,                0.00217,                0.50429,                0.00396,                0.00092,                 3.8609,                  4.211,                 3.9581,                0.07075,                0.00325,                0.00325
                      1,                 3.4104,                 3.4835,                 3.9026,                0.00127,                0.29816,                0.00109,                0.00028,                 3.4968,                 4.1311,                 3.7538,                0.04062,               0.006453,               0.006453
                      2,                 3.1779,                 3.3419,                 3.7061,                0.00311,                0.73252,                0.04443,                0.01341,                 2.8407,                 3.8348,                 3.4361,               0.010357,               0.009524,               0.009524
                      3,                 2.9441,                 3.2772,                 3.4383,                0.01679,                0.57791,                0.05449,                0.01405,                 2.8346,                 5.4321,                 3.2251,               0.009406,               0.009406,               0.009406
                      4,                 2.8775,                 3.2761,                 3.1694,                0.06413,                0.40368,                0.07755,                0.02271,                 2.7119,                 3.8922,                 2.9526,               0.009406,               0.009406,               0.009406
                      5,                 2.7753,                 3.2051,                  3.041,                0.03878,                0.45644,                  0.042,                0.01299,                 2.7034,                 3.3231,                 2.8654,               0.009208,               0.009208,               0.009208
                      6,                 2.6961,                 3.1374,                 2.8737,                 0.1562,                 0.0638,                0.06954,                0.02039,                 2.6353,                 3.0892,                 2.7844,                0.00901,                0.00901,                0.00901
                      7,                   2.57,                 3.0797,                 2.7843,                0.09601,                0.30675,                0.08104,                0.02778,                 2.4958,                 3.8151,                 2.5526,               0.008812,               0.008812,               0.008812
                      8,                 2.5127,                 3.0184,                 2.6898,                0.12644,                    0.2,                 0.0615,                0.01693,                 2.6594,                 3.3397,                 2.7235,               0.008614,               0.008614,               0.008614
                      9,                 2.4395,                 2.9556,                 2.6019,                0.16477,                0.09939,                0.09171,                0.02681,                 2.5006,                 3.3973,                 2.4884,               0.008416,               0.008416,               0.008416
                     10,                 2.2772,                 2.7345,                 2.4478,                0.05199,                0.15092,                 0.0561,                0.01599,                 2.7281,                  3.215,                 2.9171,               0.008218,               0.008218,               0.008218
                     11,                 2.1704,                 2.5679,                 2.3425,                0.12056,                0.22454,                0.09124,                0.03082,                 2.3779,                 2.7305,                 2.6167,                0.00802,                0.00802,                0.00802
                     12,                 2.0499,                 2.4171,                 2.2561,                0.13073,                 0.3865,                0.11691,                0.04004,                 2.4041,                 3.4088,                 2.6619,               0.007822,               0.007822,               0.007822
                     13,                 1.9565,                 2.3693,                 2.1487,                 0.1505,                0.39975,                0.11111,                0.03839,                 2.2546,                 2.8348,                  2.661,               0.007624,               0.007624,               0.007624
                     14,                 1.8244,                 2.2236,                  2.056,                0.20053,                0.16687,                0.11873,                 0.0346,                 2.3633,                 2.7062,                  2.862,               0.007426,               0.007426,               0.007426
                     15,                 1.7752,                 2.1396,                  2.018,                0.60707,                0.45686,                0.48832,                0.23961,                 1.6567,                 1.9742,                 1.7637,               0.007228,               0.007228,               0.007228
                     16,                 1.6597,                 2.0252,                 1.9502,                0.44922,                0.37791,                0.35711,                0.15787,                 2.0242,                 2.2505,                 2.3111,                0.00703,                0.00703,                0.00703
                     17,                 1.6375,                 2.0219,                 1.9263,                 0.3453,                0.37423,                0.24639,                0.09352,                 2.1299,                 3.4107,                 2.6776,               0.006832,               0.006832,               0.006832
                     18,                  1.598,                 1.9207,                 1.8775,                0.53104,                0.45399,                 0.4635,                0.24021,                 1.6496,                 2.0133,                    1.8,               0.006634,               0.006634,               0.006634
                     19,                 1.5608,                 1.8427,                  1.849,                0.68607,                0.56319,                0.64992,                0.34902,                 1.5376,                 1.5787,                 1.6493,               0.006436,               0.006436,               0.006436
